idiom;lemmatized
split up;split up
spoilt for choice;spoil for choice
spoken word;speak word
spot check;spot check
spread out;spread out
spring fever;spring fever
spring for;spring for
spring in one's step;spring in step
spring out;spring out
spring to life;spring to life
spring to mind;spring to mind
spruce up;spruce up
spur of the moment;spur of the moment
square meal;square meal
square one;square one
square peg in a round hole;square peg in a round hole
squeeze out;squeeze out
squirrel away;squirrel away
stab in the back;stab in the back
stack up;stack up
stage of the game;stage of the game
stake a claim;stake a claim
stalking horse;stalk horse
stamp out;stamp out
stand a chance;stand a chance
stand behind;stand behind
stand by;stand by
stand corrected;stand correct
stand down;stand down
stand for;stand for
stand in for;stand in for
stand on its own;stand on it own
stand on one's own two feet;stand on own two foot
stand one's ground;stand grind
stand out;stand out
stand pat;stand pat
stand tall;stand tall
stand the test of time;stand the test of time
stand to reason;stand to reason
stand up;stand up
stand up and be counted;stand up and be count
stand up with;stand up with
standard fare;standard fare
star turn;star turn
star vehicle;star vehicle
stars are aligned;star be align
stars in one's eyes;star in eye
start over;start over
starting price;start price
state of affairs;state of affair
stave off;stave off
stay at home;stay at home
stay behind;stay behind
stay hungry;stay hungry
stay on;stay on
stay put;stay put
stay the course;stay the course
stay tuned;stay tune
steady the ship;steady the ship
steady-as-she-goes;steady a she go
steal a march;steal a march
steal someone's thunder;steal thunder
steal the show;steal the show
steely-eyed;steely eye
stem the tide;stem the tide
step aside;step aside
step back;step back
step down;step down
step forward;step forward
step on it;step on it
step out;step out
step over;step over
step up;step up
step up one's game;step up game
step up to the plate;step up to the plate
stepping stone;step stone
stick around;stick around
stick by;stick by
stick in the mud;stick in the mud
stick one's head in the sand;stick head in the sand
stick one's neck out;stick neck out
stick one's nose in;stick nose in
stick out;stick out
stick to;stick to
stick to one's guns;stick to gun
stick together;stick together
stick up;stick up
stick with;stick with
stick-in-the-mud;stick in the mud
sticker shock;sticker shock
sticking point;stick point
sticky fingers;sticky finger
stiff upper lip;stiff upper lip
stir-crazy;stir crazy
stock still;stock still
stone cold;stone cold
stone dead;stone dead
stone's throw;st throw
stop and smell the roses;stop and smell the rose
stop at nothing;stop at nothing
store away;store away
store up;store up
storm off;storm off
straight and narrow;straight and narrow
straight arrow;straight arrow
straight away;straight away
straight face;straight face
straight man;straight man
straight shooter;straight shooter
straighten out;straighten out
strange bedfellows;strange bedfellow
straw poll;straw poll
street appeal;street appeal
streets ahead;street ahead
streets behind;street behind
stretch one's legs;stretch leg
stretch the truth;stretch the truth
strike a blow;strike a blow
strike a chord;strike a chord
strike it rich;strike it rich
strike through;strike through
strike up;strike up
strike while the iron is hot;strike while the iron be hot
string attached;string attach
string of pearls;string of pearl
string to one's bow;string to bow
strings attached;string attach
strip off;strip off
strut one's stuff;strut stuff
stub out;stub out
stuck on;stick on
stuck up;stick up
stuff it;stuff it
stuff up;stuff up
stuff you;stuff you
stumbling block;stumble block
stumbling-block;stumble block
stump up;stump up
such-and-such;such and such
suck in;suck in
suck it;suck it
suck it up;suck it up
suck out;suck out
sucker punch;sucker punch
sudden death;sudden death
suffer fools gladly;suffer fool gladly
sugar coated;sugar coat
sum up;sum up
summer and winter;summer and winter
supposed to;suppose to
sure enough;sure enough
surprise surprise;surprise surprise
suspend one's disbelief;suspend disbelief
swaddling clothes;swaddle clothe
swallow one's pride;swallow pride
swan song;swan song
swear by;swear by
swear off;swear off
sweat equity;sweat equity
sweep aside;sweep aside
sweep away;sweep away
sweep out;sweep out
sweet as;sweet a
sweet cherry;sweet cherry
sweet dreams;sweet dream
sweet nothings;sweet nothing
sweet on;sweet on
sweet tooth;sweet tooth
sweeten the pot;sweeten the pot
sweetheart deal;sweetheart deal
sweetness and light;sweetnes and light
swell up;swell up
swim upstream;swim upstream
swing for the fences;swing for the fence
swing of things;swing of thing
swing state;swing state
swing through;swing through
swings and roundabouts;swing and roundabout
switch off;switch off
switch on;switch on
switch-hitter;switch hitter
table talk;table talk
tag along;tag along
tag team;tag team
tail between one's legs;tail between leg
tail wagging the dog;tail wag the dog
take a back seat;take a back seat
take a bath;take a bath
take a bite;take a bite
take a bow;take a bow
take a breath;take a breath
take a breather;take a breather
take a bullet;take a bullet
take a chance;take a chance
take a crack at;take a crack at
take a dim view of;take a dim view of
take a dive;take a dive
take a gamble;take a gamble
take a gander;take a gander
take a hike;take a hike
take a joke;take a joke
take a look;take a look
take a nap;take a nap
take a number;take a number
take a picture;take a picture
take a risk;take a risk
take a run at;take a run at
take a seat;take a seat
take a stab at;take a stab at
take a stand;take a stand
take a tumble;take a tumble
take a turn for the better;take a turn for the good
take a turn for the worse;take a turn for the bad
take aim;take aim
take cover;take cover
take effect;take effect
take exception;take exception
take flight;take flight
take for granted;take for grant
take heart;take heart
take heed;take heed
take into account;take into account
take into consideration;take into consideration
take it away;take it away
take it easy;take it easy
take it from me;take it from me
take it or leave it;take it or leave it
take it out on;take it out on
take it outside;take it outside
take its toll;take it toll
take kindly;take kindly
take leave;take leave
take liberties;take liberty
take lightly;take lightly
take matters into one's own hands;take matter into own hand
take no for an answer;take no for an answer
take no prisoners;take no prisoner
take on;take on
take on water;take on water
take one's chance;take chance
take one's eye off the ball;take eye off the ball
take one's hat off to;take hat off to
take one's lumps;take lump
take one's pick;take pick
take one's time;take time
take out;take out
take out the trash;take out the trash
take over;take over
take part;take part
take pride;take pride
take sick;take sick
take sides;take side
take someone's word for it;take word for it
take the bait;take the bait
take the bull by the horns;take the bull by the horn
take the cake;take the cake
take the fall;take the fall
take the field;take the field
take the fifth;take the fifth
take the game to;take the game to
take the heat;take the heat
take the hint;take the hint
take the law into one's own hands;take the law into own hand
take the lead;take the lead
take the mickey;take the mickey
take the plunge;take the plunge
take the point;take the point
take the reins;take the rein
take the stand;take the stand
take the wheel;take the wheel
take to;take to
take to heart;take to heart
take up with;take up with
talent management;talent management
talk about;talk about
talk back;talk back
talk down;talk down
talk is cheap;talk be cheap
talk of the town;talk of the town
talk the talk;talk the talk
talk turkey;talk turkey
talk up;talk up
talking head;talk head
tall order;tall order
tall tale;tall tale
tamp down;tamp down
taper off;taper off
taste of one's own medicine;taste of own medicine
teach someone a lesson;teach a lesson
teacher's pet;teacher pet
team up;team up
team up with;team up with
tear apart;tear apart
tear away;tear away
tear it up;tear it up
tear up;tear up
tee off;tee off
teed off;tee off
teeny weeny;teeny weeny
teething problems;teethe problem
teething troubles;teethe trouble
tell all;tell all
tell apart;tell apart
tell it like it is;tell it like it be
tell tales;tell tale
tell the truth;tell the truth
tell you the truth;tell you the truth
tell you what;tell you what
tempest in a teapot;tempest in a teapot
tempt fate;tempt fate
term out;term out
test bed;test bed
test of time;test of time
test the waters;test the water
thank one's lucky stars;thank lucky star
that does it;that do it
that figures;that figure
that way;that way
that's just me;that just me
that's saying something;that say something
that's that;that that
the ball is in someone's court;the ball be in court
the bee's knees;the be knee
the buck stops here;the buck stop here
the devil;the devil
the end of one's rope;the end of rope
the finger;the finger
the hell out of;the hell out of
the icing on the cake;the ice on the cake
the long and short;the long and short
the man;the man
the other day;the other day
the pants off;the pant off
the pits;the pit
the place to be;the place to be
the plot thickens;the plot thicken
the quality;the quality
the rest is history;the rest be history
the rubber meets the road;the rubber meet the road
the straw that broke the camel's back;the straw that break the camel back
the thing is;the thing be
the upper hand;the upper hand
the wheels came off;the wheel come off
the wheels fell off;the wheel fell off
the whole nine yards;the whole nine yard
the world over;the world over
then again;then again
there and back;there and back
there for everyone to see;there for everyone to see
there we go;there we go
there you are;there you be
there you go;there you go
there you have it;there you have it
there, there;there there
these islands;these island
thick and thin;thick and thin
thick of things;thick of thing
thick skin;thick skin
thin air;thin air
thin end of the wedge;thin end of the wedge
thin-skinned;thin skin
things that go bump in the night;thing that go bump in the night
think back;think back
think of;think of
think on one's feet;think on foot
think over;think over
think tank;think tank
think the world of;think the world of
think twice;think twice
think up;think up
third country;third country
third degree;third degree
third hand;third hand
third person;third person
third space;third space
third string;third string
third wheel;third wheel
this instance;thi instance
this minute;thi minute
this, that, and the other;thi that and the other
thorn in someone's side;thorn in side
thorn in the flesh;thorn in the flesh
though but;though but
thrash out;thrash out
thread the needle;thread the needle
three Rs;three r
three-ring circus;three ring circu
through and through;through and through
through the roof;through the roof
throw a party;throw a party
throw a spanner in the works;throw a spanner in the work
throw a tantrum;throw a tantrum
throw caution to the wind;throw caution to the wind
throw down;throw down
throw down the gauntlet;throw down the gauntlet
throw good money after bad;throw good money after bad
throw in;throw in
throw in the towel;throw in the towel
throw off;throw off
throw one's hat in the ring;throw hat in the ring
throw one's weight around;throw weight around
throw out;throw out
throw the baby out with the bathwater;throw the baby out with the bathwater
throw the book at;throw the book at
throw up;throw up
thumb on the scale;thumb on the scale
thumb one's nose;thumb nose
tick all the boxes;tick all the box
tick off;tick off
tick over;tick over
tickle someone's fancy;tickle fancy
tide over;tide over
tie someone's hands;tie hand
tie the knot;tie the knot
tie up;tie up
tie up loose ends;tie up loose end
tight ship;tight ship
tight spot;tight spot
tight-lipped;tight lipped
time after time;time after time
time and material;time and material
time of the month;time of the month
time off;time off
time out;time out
time will tell;time will tell
tin ear;tin ear
tip of the hat;tip of the hat
tip of the iceberg;tip of the iceberg
tip off;tip off
tip one's hand;tip hand
tip one's hat;tip hat
tip the scale;tip the scale
tip the scales;tip the scale
tip-off;tip off
tiptoe around;tiptoe around
tit for tat;tit for tat
to a T;to a t
to a fault;to a fault
to a turn;to a turn
to all intents and purposes;to all intent and purpose
to be honest;to be honest
to be named later;to be name late
to be sure;to be sure
to boot;to boot
to date;to date
to death;to death
to die for;to die for
to do with;to do with
to go;to go
to little avail;to little avail
to no avail;to no avail
to one's heart's content;to heart content
to one's mind;to mind
to pieces;to piece
to say nothing of;to say nothing of
to say the least;to say the least
to speak of;to speak of
to tell the truth;to tell the truth
to that end;to that end
to the T;to the t
to the bone;to the bone
to the brim;to the brim
to the gills;to the gill
to the hilt;to the hilt
to the letter;to the letter
to the max;to the max
to the moon;to the moon
to the nth degree;to the nth degree
to the point;to the point
to the tee;to the tee
to the tune of;to the tune of
toast of the town;toast of the town
toe the line;toe the line
toe-to-toe;toe to toe
tomato juice;tomato juice
tone down;tone down
tongue-in-cheek;tongue in cheek
tongue-tied;tongue tie
too bad;too bad
too big for one's boots;too big for boot
too clever by half;too clever by half
too slow;too slow
toot one's own horn;toot own horn
tooth and nail;tooth and nail
top brass;top bras
top dog;top dog
top dollar;top dollar
top drawer;top drawer
top edge;top edge
top hat;top hat
top it off;top it off
top notch;top notch
top of mind;top of mind
top of the line;top of the line
top shelf;top shelf
top up;top up
top-shelf;top shelf
topple over;topple over
topsy turvy;topsy turvy
toss around;tos around
toss up;tos up
toss-up;tos up
total clearance;total clearance
touch and go;touch and go
touch base;touch base
touch off;touch off
touch on;touch on
touch up;touch up
touch wood;touch wood
touch-and-go;touch and go
touchy-feely;touchy feely
tough as nails;tough a nail
tough call;tough call
tough cookie;tough cookie
tough love;tough love
tough luck;tough luck
tough nut to crack;tough nut to crack
toughen up;toughen up
town and gown;town and gown
toy boy;toy boy
track down;track down
track record;track record
traditional marriage;traditional marriage
train wreck;train wreck
transcendental meditation;transcendental meditation
trash out;trash out
tread lightly;tread lightly
trending topic;trend topic
trial balloon;trial balloon
trial by fire;trial by fire
trial by media;trial by medium
trials and tribulations;trial and tribulation
trick up one's sleeve;trick up sleeve
tried and tested;try and test
tried and true;try and true
trigger-happy;trigger happy
trip out;trip out
trot out;trot out
trouble in paradise;trouble in paradise
true believer;true believer
true blue;true blue
true to form;true to form
truth be told;truth be tell
try one's hand;try hand
try one's luck;try luck
tug of war;tug of war
tune in;tune in
tune out;tune out
turf war;turf war
turkey shoot;turkey shoot
turn a blind eye;turn a blind eye
turn a corner;turn a corner
turn a deaf ear;turn a deaf ear
turn a profit;turn a profit
turn against;turn against
turn around;turn around
turn back;turn back
turn down;turn down
turn heads;turn head
turn in;turn in
turn into;turn into
turn of events;turn of event
turn of foot;turn of foot
turn of phrase;turn of phrase
turn off;turn off
turn on;turn on
turn one's back;turn back
turn one's nose up;turn nose up
turn out;turn out
turn over;turn over
turn over a new leaf;turn over a new leaf
turn someone's head;turn head
turn the corner;turn the corner
turn the other cheek;turn the other cheek
turn the page;turn the page
turn the screw;turn the screw
turn the tables;turn the table
turn the tide;turn the tide
turn to;turn to
turn two;turn two
turn up;turn up
turn upside down;turn upside down
turn-off;turn off
turn-on;turn on
twenty to;twenty to
twilight years;twilight year
twist of fate;twist of fate
twist someone's arm;twist arm
two cents;two cent
two for two;two for two
two left feet;two leave foot
two thumbs up;two thumb up
two-bit;two bite
two-edged sword;two edge sword
two-way street;two way street
under a cloud;under a cloud
under fire;under fire
under glass;under glas
under lock and key;under lock and key
under no circumstances;under no circumstance
under one's breath;under breath
under one's hat;under hat
under one's nose;under nose
under one's own steam;under own steam
under one's thumb;under thumb
under one's wing;under wing
under sail;under sail
under the carpet;under the carpet
under the cosh;under the cosh
under the covers;under the cover
under the gun;under the gun
under the impression;under the impression
under the influence;under the influence
under the knife;under the knife
under the microscope;under the microscope
under the pump;under the pump
under the radar;under the radar
under the rug;under the rug
under the sun;under the sun
under the table;under the table
under the weather;under the weather
under the wire;under the wire
under the yoke;under the yoke
under water;under water
under way;under way
under wraps;under wrap
unknown quantity;unknown quantity
until the cows come home;until the cow come home
up a storm;up a storm
up a tree;up a tree
up above;up above
up against;up against
up against it;up against it
up and down;up and down
up and running;up and run
up for;up for
up for grabs;up for grab
up front;up front
up in arms;up in arm
up in the air;up in the air
up on;up on
up one's sleeve;up sleeve
up someone's alley;up alley
up someone's street;up street
up the ante;up the ante
up the creek;up the creek
up the river;up the river
up the wall;up the wall
up the walls;up the wall
up there;up there
up to here;up to here
up to no good;up to no good
up to par;up to par
up to scratch;up to scratch
up to snuff;up to snuff
up to something;up to something
up to speed;up to speed
up yours;up your
up-and-comer;up and comer
up-and-coming;up and come
up-to-date;up to date
uphill battle;uphill battle
upper crust;upper crust
upper-crust;upper crust
ups and downs;up and down
upset the applecart;upset the applecart
urban fabric;urban fabric
use one's head;use head
used to;use to
valley of death;valley of death
valley of the shadow of death;valley of the shadow of death
verbal assault;verbal assault
verge on;verge on
vertically challenged;vertically challenge
very good;very good
very well;very well
virgin territory;virgin territory
voice in the wilderness;voice in the wildernes
vote down;vote down
vote with one's feet;vote with foot
vouch for;vouch for
wait for it;wait for it
wait on;wait on
wait out;wait out
waiting game;wait game
wake up and smell the coffee;wake up and smell the coffee
walk a tightrope;walk a tightrope
walk all over;walk all over
walk and chew gum at the same time;walk and chew gum at the same time
walk away;walk away
walk away from;walk away from
walk back;walk back
walk down the aisle;walk down the aisle
walk free;walk free
walk in on;walk in on
walk in the park;walk in the park
walk of life;walk of life
walk off with;walk off with
walk on the wild side;walk on the wild side
walk on water;walk on water
walk over;walk over
walk the dog;walk the dog
walk the line;walk the line
walk the plank;walk the plank
walk the talk;walk the talk
walk the walk;walk the walk
walk through;walk through
wall of silence;wall of silence
want out;want out
war bride;war bride
warm body;warm body
warm fuzzy;warm fuzzy
warm-blooded;warm blood
warning shot;warn shoot
warts and all;wart and all
wash one's hands;wash hand
wash one's hands of;wash hand of
wash out;wash out
washed out;wash out
washed up;wash up
waste away;waste away
watch it;watch it
watch one's step;watch step
watch out;watch out
watch over;watch over
watch this space;watch thi space
water can;water can
water closet;water closet
water down;water down
water power;water power
water under the bridge;water under the bridge
watered-down;water down
watering hole;water hole
wave of the hand;wave of the hand
wave the white flag;wave the white flag
way back when;way back when
weak-kneed;weak kneed
wear down;wear down
wear one's heart on one's sleeve;wear heart on sleeve
wear thin;wear thin
weather the storm;weather the storm
wedding-cake;wed cake
wee small hours;wee small hour
weed out;weed out
weekend warrior;weekend warrior
weigh against;weigh against
weigh down;weigh down
weigh in;weigh in
weight of the world;weight of the world
well and good;well and good
well and truly;well and truly
well done;well do
well met;well meet
well, I never;well i never
well-oiled;well oil
well-padded;well pad
wet behind the ears;wet behind the ear
wet blanket;wet blanket
wet dream;wet dream
wet one's pants;wet pant
wet the bed;wet the bed
whack-a-mole;whack a mole
what are the odds;what be the odd
what can I say;what can i say
what do I know;what do i know
what do you say;what do you say
what else is new;what else be new
what for;what for
what is more;what be more
what it takes;what it take
what not;what not
what someone said;what say
what was that;what be that
what with;what with
what you see is what you get;what you see be what you get
what's cooking;what cook
what's going on;what go on
what's in it for me;what in it for me
what's new;what new
what's the difference;what the difference
what's the matter;what the matter
what's up;what up
what's what;what what
whatever it takes;whatever it take
wheel out;wheel out
when all is said and done;when all be say and do
when push comes to shove;when push come to shove
when the chips are down;when the chip be down
where it's at;where it at
whip hand;whip hand
whistle for;whistle for
whistle-blower;whistle blower
whistle-stop;whistle stop
white elephant;white elephant
white girl;white girl
white hat;white hat
white lie;white lie
white man;white man
white paper;white paper
white trash;white trash
white wedding;white wed
white wine;white wine
white-knuckle;white knuckle
who's who;who who
whole cloth;whole cloth
whole shebang;whole shebang
whys and wherefores;why and wherefore
wide awake;wide awake
wide berth;wide berth
wide of the mark;wide of the mark
wiggle room;wiggle room
wild cherry;wild cherry
wild horses;wild horse
wild turkey;wild turkey
wild-goose chase;wild goose chase
will do;will do
willful ignorance;willful ignorance
win back;win back
win over;win over
win the day;win the day
wind at one's back;wind at back
wind down;wind down
wind off;wind off
window dressing;window dres
window-shopping;window shop
wing it;wing it
winning ways;win way
winter sun;winter sun
wipe out;wipe out
wipe the slate clean;wipe the slate clean
wireless network;wireles network
wise guy;wise guy
wishful thinking;wishful think
with a grain of salt;with a grain of salt
with a vengeance;with a vengeance
with a view to;with a view to
with all due respect;with all due respect
with an eye to;with an eye to
with an eye towards;with an eye toward
with any luck;with any luck
with bated breath;with bat breath
with both hands;with both hand
with flying colors;with fly color
with one's bare hands;with bare hand
with one's head held high;with head hold high
with open arms;with open arm
with pleasure;with pleasure
with the manner;with the manner
within living memory;within live memory
within reach;within reach
without a hitch;without a hitch
without fail;without fail
without further ado;without far ado
woe betide;woe betide
wolf down;wolf down
wolf in sheep's clothing;wolf in sheep clothe
wooden spoon;wooden spoon
word of mouth;word of mouth
word on the street;word on the street
word play;word play
word to the wise;word to the wise
word-for-word;word for word
work nights;work night
work one's butt off;work butt off
work one's magic;work magic
work out;work out
work through;work through
work to rule;work to rule
work wonders;work wonder
worked up;work up
working girl;work girl
world-beater;world beater
worlds apart;world apart
worse for wear;bad for wear
worst of both worlds;bad of both world
worth every penny;worth every penny
worth its weight in gold;worth it weight in gold
worth one's salt;worth salt
worth one's while;worth while
wouldn't hurt a fly;wouldnt hurt a fly
wouldn't you know;wouldnt you know
wouldn't you know it;wouldnt you know it
wrap one's head around;wrap head around
wrap up;wrap up
wreak havoc;wreak havoc
wriggle out of;wriggle out of
writ large;writ large
write down;write down
write home about;write home about
writing on the wall;write on the wall
wrong crowd;wrong crowd
wrong number;wrong number
wrong place at the wrong time;wrong place at the wrong time
wrong side of the tracks;wrong side of the track
yeah, right;yeah right
year in, year out;year in year out
yell at;yell at
yellow brick road;yellow brick road
yellow cake;yellow cake
yellow journalism;yellow journalism
yellow light;yellow light
yes and no;ye and no
yes man;ye man
you all;you all
you bet;you bet
you don't say;you dont say
you guys;you guy
you know;you know
you know it;you know it
you know what;you know what
you lot;you lot
you name it;you name it
you shouldn't have;you shouldnt have
you think;you think
you what;you what
you wish;you wish
you're telling me;youre tell me
young at heart;young at heart
young lady;young lady
young man;young man
younger brother;young brother
younger sister;young sister
your ass;your a
your man;your man
yours truly;your truly
zero in on;zero in on
zero-day;zero day
zip up;zip up
