idiom;lemmatized
cut it;cut it
cut loose;cut loose
cut off;cut off
cut one's teeth;cut teeth
cut out;cut out
cut red tape;cut red tape
cut short;cut short
cut the mustard;cut the mustard
cut the umbilical cord;cut the umbilical cord
cut through;cut through
cut to the chase;cut to the chase
cut up;cut up
cutting edge;cut edge
cylinder head;cylinder head
daily grind;daily grind
damn right;damn right
damp squib;damp squib
dark horse;dark horse
dash off;dash off
date with destiny;date with destiny
dawn on;dawn on
day after day;day after day
day and age;day and age
day and night;day and night
day in, day out;day in day out
day one;day one
day or night;day or night
day out;day out
day-to-day;day to day
daylight robbery;daylight robbery
days of yore;day of yore
dead air;dead air
dead and buried;dead and bury
dead cat bounce;dead cat bounce
dead center;dead center
dead duck;dead duck
dead end;dead end
dead giveaway;dead giveaway
dead heat;dead heat
dead in the water;dead in the water
dead last;dead last
dead meat;dead meat
dead men;dead men
dead of night;dead of night
dead on;dead on
dead ringer;dead ringer
dead weight;dead weight
dead wood;dead wood
deadbeat dad;deadbeat dad
deafening silence;deafen silence
deal breaker;deal breaker
death knell;death knell
death spiral;death spiral
debris field;debri field
deep down;deep down
deep end;deep end
deep pockets;deep pocket
deep sleep;deep sleep
deep thinker;deep thinker
deep water;deep water
deer in the headlights;deer in the headlight
definitive agreement;definitive agreement
deliver the goods;deliver the good
deputy first minister;deputy first minister
detective work;detective work
devil is in the details;devil be in the detail
devil's advocate;devil advocate
dial back;dial back
dial down;dial down
diamond in the rough;diamond in the rough
diamond ring;diamond ring
die down;die down
die off;die off
die out;die out
dig deep;dig deep
dig in;dig in
dig in one's heels;dig in heel
dig up;dig up
dig up dirt;dig up dirt
dime a dozen;dime a dozen
diminishing returns;diminish return
dip into;dip into
dirt-poor;dirt poor
dirty laundry;dirty laundry
dirty look;dirty look
dirty money;dirty money
dirty word;dirty word
dirty work;dirty work
disagree with;disagree with
dismal science;dismal science
dive in;dive in
do a;do a
do away with;do away with
do down;do down
do drugs;do drug
do for;do for
do in;do in
do it;do it
do it tough;do it tough
do justice;do justice
do one;do one
do one's bit;do bite
do one's business;do busines
do one's thing;do thing
do right by;do right by
do someone proud;do proud
do the deed;do the deed
do the hard yards;do the hard yard
do the honors;do the honor
do the honours;do the honour
do the math;do the math
do the right thing;do the right thing
do the trick;do the trick
do up;do up
do want;do want
do well;do well
do what;do what
do without;do without
do-or-die;do or die
dog and cat;dog and cat
dog and pony show;dog and pony show
dog around;dog around
dog eat dog;dog eat dog
dog it;dog it
dog's breakfast;dog breakfast
dog's life;dog life
dole out;dole out
don't get me started;dont get me start
don't go there;dont go there
don't hold your breath;dont hold your breath
don't tell me;dont tell me
done and done;do and do
done and dusted;do and dust
done deal;do deal
donkey work;donkey work
donkey's years;donkey year
doom and gloom;doom and gloom
double back;double back
double booked;double book
double down;double down
double entendre;double entendre
double over;double over
double talk;double talk
double tap;double tap
double-edged sword;double edge sword
down and out;down and out
down at heel;down at heel
down for the count;down for the count
down in the dumps;down in the dump
down on one's luck;down on luck
down pat;down pat
down the drain;down the drain
down the line;down the line
down the pan;down the pan
down the road;down the road
down the toilet;down the toilet
down the track;down the track
down the tubes;down the tube
down to a fine art;down to a fine art
down to the wire;down to the wire
down under;down under
down-to-earth;down to earth
drag on;drag on
drag one's feet;drag foot
drag out;drag out
drama queen;drama queen
draw a line;draw a line
draw a line in the sand;draw a line in the sand
draw away;draw away
draw back;draw back
draw down;draw down
draw even;draw even
draw in;draw in
draw off;draw off
draw the line;draw the line
drawing card;draw card
dream house;dream house
dredge up;dredge up
dress down;dres down
dressed to the nines;dres to the nine
dressing-down;dres down
dribs and drabs;drib and drab
drift apart;drift apart
drift off;drift off
drill down;drill down
drill rig;drill rig
drilling rig;drill rig
drinking age;drink age
drive away;drive away
drive home;drive home
drive off;drive off
drive out;drive out
drive someone crazy;drive crazy
drop anchor;drop anchor
drop in;drop in
drop in the bucket;drop in the bucket
drop in the ocean;drop in the ocean
drop off;drop off
drop out;drop out
drop the ball;drop the ball
drown out;drown out
drug deal;drug deal
drug of choice;drug of choice
drum up;drum up
dry eye;dry eye
dry out;dry out
dry powder;dry powder
dry run;dry run
duck out;duck out
due course;due course
duke it out;duke it out
dumb down;dumb down
dump on;dump on
dust off;dust off
dust settle;dust settle
duty calls;duty call
dyed in the wool;dye in the wool
dyed-in-the-wool;dye in the wool
each way;each way
eagle eye;eagle eye
ear to the ground;ear to the grind
early bath;early bath
early bird;early bird
earn one's keep;earn keep
easier said than done;easy say than do
easy on the eye;easy on the eye
easy on the eyes;easy on the eye
easy pickings;easy pick
easy street;easy street
eat humble pie;eat humble pie
eat it;eat it
eat one's heart out;eat heart out
eat out;eat out
eat someone alive;eat alive
eat someone's lunch;eat lunch
eat up;eat up
economical with the truth;economical with the truth
edge out;edge out
egg on;egg on
elbow grease;elbow grease
elbow room;elbow room
elder brother;elder brother
elder sister;elder sister
element of surprise;element of surprise
elephant ears;elephant ear
elephant in the room;elephant in the room
elevator pitch;elevator pitch
eleventh hour;eleventh hour
embarrassment of riches;embarrassment of rich
empty promise;empty promise
end of;end of
end of the line;end of the line
end of the world;end of the world
end state;end state
end up;end up
enemy combatant;enemy combatant
energy level;energy level
engine room;engine room
equal marriage;equal marriage
err on the side of;err on the side of
err on the side of caution;err on the side of caution
esprit de corps;esprit de corp
ethically challenged;ethically challenge
ethnic music;ethnic music
eureka moment;eureka moment
even keel;even keel
even money;even money
even the score;even the score
ever after;ever after
ever so;ever so
every bit;every bite
every inch;every inch
every last;every last
every one;every one
every second;every second
every time;every time
every which way;every which way
everything but the kitchen sink;everything but the kitchen sink
evil twin;evil twin
exception that proves the rule;exception that prove the rule
excess baggage;exces baggage
execution style;execution style
extra pair of hands;extra pair of hand
eye candy;eye candy
eye for an eye;eye for an eye
eye of the beholder;eye of the beholder
eye up;eye up
eye-opener;eye opener
face down;face down
face the facts;face the fact
face the music;face the music
face to face;face to face
face value;face value
fact is;fact be
factor in;factor in
facts on the ground;fact on the grind
fade out;fade out
failure to thrive;failure to thrive
fair and square;fair and square
fair enough;fair enough
fair game;fair game
fair sex;fair sex
fall apart;fall apart
fall behind;fall behind
fall between the cracks;fall between the crack
fall by the wayside;fall by the wayside
fall for;fall for
fall foul;fall foul
fall from grace;fall from grace
fall in line;fall in line
fall into;fall into
fall into one's lap;fall into lap
fall into place;fall into place
fall into the wrong hands;fall into the wrong hand
fall off the wagon;fall off the wagon
fall on deaf ears;fall on deaf ear
fall on hard times;fall on hard time
fall on one's face;fall on face
fall on one's sword;fall on sword
fall out;fall out
fall over;fall over
fall short;fall short
fall through;fall through
fall through the cracks;fall through the crack
fall victim;fall victim
fallen over;fall over
falling out;fall out
false alarm;false alarm
false light;false light
false note;false note
false step;false step
family jewels;family jewel
family size;family size
fan the flames;fan the flame
fancy one's chances;fancy chance
far and away;far and away
far and wide;far and wide
far be it;far be it
far cry;far cry
far gone;far go
far out;far out
far post;far post
farm out;farm out
fashion plate;fashion plate
fashionably late;fashionably late
fast and furious;fast and furiou
fast asleep;fast asleep
fat and happy;fat and happy
fat cat;fat cat
fat chance;fat chance
feast for the eyes;feast for the eye
feast or famine;feast or famine
feather in one's cap;feather in cap
fed up;feed up
feed off;fee off
feeding frenzy;feed frenzy
feel for;feel for
feel free;feel free
feel the pinch;feel the pinch
feel up;feel up
feel up to;feel up to
feet first;foot first
feet of clay;foot of clay
